no_joueur;no_saison;buts;passes_decisives;cartons_jaunes;cartons_rouges;nb_matchs
290;2;59;9;1;1;60
291;2;8;3;2;0;11
297;2;6;8;0;1;24
300;2;38;12;3;1;43
301;2;35;12;3;1;45
302;2;15;0;4;1;16
312;2;3;1;2;0;9
313;2;26;9;1;1;39
18;3;25;9;5;0;58
19;3;7;14;1;1;51
20;3;16;6;5;0;35
22;3;27;11;4;1;35
23;3;9;1;3;1;20
24;3;34;9;5;0;44
25;3;2;1;4;1;18
26;3;21;5;1;1;40
41;3;11;3;3;1;15
48;3;19;14;5;0;42
49;3;1;1;0;1;4
50;3;13;3;1;0;20
72;3;41;4;5;1;56
73;3;45;9;0;0;56
74;3;38;12;0;1;47
75;3;23;8;3;1;26
76;3;5;1;1;1;37
77;3;15;7;1;1;38
78;3;1;0;1;1;3
92;3;40;1;1;0;45
93;3;26;4;5;1;38
96;3;4;1;0;1;12
98;3;10;5;3;1;40
99;3;1;0;4;0;9
113;3;2;0;1;0;3
114;3;19;2;2;1;36
118;3;0;0;0;0;0
119;3;6;3;4;0;11
120;3;17;4;2;0;18
132;3;6;2;4;0;12
138;3;7;2;4;0;15
139;3;46;8;2;0;53
140;3;5;5;1;1;15
141;3;5;11;0;1;41
142;3;30;5;3;1;45
143;3;3;2;1;1;6
144;3;42;0;2;1;52
153;3;10;4;0;1;16
160;3;4;3;3;1;13
161;3;40;8;5;1;42
162;3;26;7;2;0;32
163;3;6;6;5;0;27
176;3;10;3;4;0;32
177;3;20;9;2;1;52
180;3;14;5;1;0;30
184;3;38;4;4;1;43
185;3;6;2;4;1;20
187;3;7;3;3;1;26
202;3;0;0;2;0;1
209;3;34;0;4;0;48
210;3;27;9;1;1;48
211;3;4;2;2;1;26
212;3;0;2;2;1;18
233;3;6;1;5;0;7
234;3;10;4;4;0;13
235;3;46;17;0;0;57
237;3;56;16;1;1;57
246;3;11;1;4;1;20
247;3;48;10;5;0;57
255;3;2;0;5;1;2
257;3;19;5;4;1;36
268;3;7;1;1;1;57
280;3;9;7;2;1;46
290;3;7;0;1;1;16
291;3;4;4;3;0;16
297;3;23;17;0;0;58
300;3;2;0;0;1;3
301;3;1;0;2;1;2
302;3;20;0;0;1;35
312;3;38;10;2;1;60
313;3;2;0;4;1;4
18;4;18;12;0;0;45
19;4;26;7;2;1;37
20;4;0;1;5;0;22
22;4;8;9;1;1;27
23;4;16;1;4;1;23
24;4;10;9;4;1;56
25;4;58;14;5;1;60
26;4;16;4;0;0;26
41;4;18;5;5;0;38
48;4;12;13;4;0;58
49;4;37;14;2;1;48
50;4;5;1;5;0;11
72;4;0;1;3;1;5
73;4;20;8;4;0;38
74;4;2;1;4;0;4
75;4;7;5;2;0;24
76;4;2;1;0;0;5
77;4;12;1;4;0;21
78;4;0;3;5;0;9
92;4;21;4;1;0;28
93;4;20;13;2;0;50
96;4;0;4;3;0;29
98;4;12;4;0;0;23
99;4;16;10;4;1;32
113;4;15;10;5;0;37
114;4;12;6;1;0;24
118;4;27;7;5;0;29
119;4;23;7;4;1;24
120;4;2;1;5;0;22
132;4;1;1;3;1;4
138;4;3;1;5;1;4
139;4;5;2;5;0;15
140;4;1;0;5;0;9
141;4;1;2;1;1;6
142;4;25;9;0;0;28
143;4;15;1;1;1;32
144;4;20;1;4;0;35
153;4;4;5;2;0;19
160;4;44;10;4;1;59
161;4;25;15;4;1;45
162;4;47;7;4;0;52
163;4;43;0;2;1;56
176;4;14;15;2;0;56
177;4;0;0;3;0;4
180;4;27;6;5;1;29
184;4;6;2;2;0;9
185;4;6;0;2;0;7
187;4;3;9;0;1;60
202;4;8;3;1;0;9
209;4;3;1;0;1;3
210;4;34;12;2;0;48
211;4;14;1;1;0;22
212;4;0;0;1;1;2
233;4;20;3;0;1;52
234;4;18;3;1;1;31
235;4;6;2;4;1;14
237;4;4;4;0;1;31
246;4;7;2;1;1;7
247;4;3;1;2;1;23
255;4;2;0;1;1;7
257;4;21;0;0;0;28
268;4;16;2;1;0;41
280;4;3;0;3;0;7
290;4;3;0;3;1;3
291;4;0;0;5;1;0
297;4;36;5;3;0;39
300;4;9;6;3;1;35
301;4;19;6;1;0;32
302;4;17;0;2;1;21
312;4;25;7;1;0;41
313;4;13;5;3;1;41
18;5;0;3;1;1;28
19;5;4;3;4;1;9
20;5;24;5;2;1;35
22;5;12;13;0;0;44
23;5;51;9;0;0;55
24;5;36;8;4;0;41
25;5;26;1;2;0;45
26;5;2;7;1;0;29
41;5;39;10;3;1;45
48;5;0;0;3;0;0
49;5;12;0;2;1;16
50;5;17;2;1;0;23
72;5;23;5;5;1;30
73;5;5;4;1;0;18
74;5;11;3;3;1;17
75;5;29;0;1;0;50
76;5;56;13;3;0;57
77;5;10;3;2;1;16
78;5;1;0;0;1;10
92;5;1;3;3;0;19
93;5;4;1;1;0;15
96;5;7;4;4;1;43
98;5;26;8;5;1;58
99;5;1;8;5;0;44
113;5;39;5;2;1;47
114;5;6;6;4;1;34
118;5;2;3;0;0;29
119;5;18;1;4;0;21
120;5;1;6;4;1;26
132;5;25;0;3;0;33
138;5;24;6;3;1;35
139;5;29;0;3;0;42
140;5;27;0;5;0;33
141;5;1;0;0;1;5
142;5;3;5;5;1;49
143;5;13;2;1;0;35
144;5;3;0;0;0;3
153;5;12;11;0;0;52
160;5;6;1;2;1;17
161;5;17;14;5;1;46
162;5;30;10;0;1;31
163;5;6;0;5;1;50
176;5;31;2;4;1;37
177;5;24;5;2;1;36
180;5;26;18;3;0;54
184;5;3;3;5;0;15
185;5;37;10;2;1;46
187;5;19;5;0;1;20
202;5;9;7;3;0;41
209;5;4;1;3;0;22
210;5;23;18;3;1;60
211;5;15;9;0;1;38
212;5;30;14;0;0;58
233;5;2;2;3;0;12
234;5;28;7;3;0;38
235;5;4;9;3;0;43
237;5;5;0;5;1;7
246;5;33;11;5;0;38
247;5;4;2;5;0;27
255;5;42;2;3;0;59
257;5;9;2;1;1;24
268;5;6;8;3;0;33
280;5;3;3;1;1;9
290;5;2;1;3;1;7
291;5;20;1;4;1;24
297;5;12;6;2;0;22
300;5;32;7;4;1;32
301;5;21;10;4;1;32
302;5;8;0;4;1;18
312;5;39;14;5;1;59
313;5;11;2;1;0;21
